time/fps,Episode,time/time_elapsed,time/total_timesteps,Reward,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/learning_rate,Loss
275,73,26,7300,226572.0,0.0002785088,0.2,720,0.0,-0.001791849295659631,319178.36953125,-1.3248218059539796,6.282329559326172e-05,0.0003,154613.421875
275,74,26,7400,229957.0,0.00016225103,0.2,730,0.0,-0.0016312311723595484,308472.37265625,-1.321832501888275,-8.463859558105469e-06,0.0003,117922.3359375
275,75,27,7500,232039.0,9.467877e-05,0.2,740,0.0,-0.0010931685923424085,280737.084375,-1.3273921489715577,0.00011926889419555664,0.0003,137611.859375
275,76,27,7600,235779.0,0.0004457756,0.2,750,0.0,-0.002486742390101426,121076.779296875,-1.34574693441391,0.00017911195755004883,0.0003,63844.16796875
275,77,27,7700,239522.0,0.00029571287,0.2,760,0.0,-0.0025272358954680383,354304.565625,-1.3314225554466248,0.00011086463928222656,0.0003,179067.6875
275,78,28,7800,242111.0,3.513378e-05,0.2,770,0.0,-0.0006587705501488017,396823.434375,-1.3367753744125366,4.875659942626953e-05,0.0003,190209.609375
275,79,28,7900,244040.0,0.00012155431,0.2,780,0.0,-0.0021134653372428145,165722.48828125,-1.3425593256950379,0.0004527568817138672,0.0003,90567.6484375
275,80,29,8000,249255.0,0.00094663474,0.2,790,0.0,-0.004661602215492167,60961.6953125,-1.3389414310455323,6.073713302612305e-05,0.0003,32690.693359375
275,81,29,8100,252435.0,0.00026404858,0.2,800,0.0,-0.0027945038076722995,751197.6625,-1.3281531989574433,2.5451183319091797e-05,0.0003,372051.25
275,82,29,8200,255423.0,0.00018266702,0.2,810,0.0,-0.002541486199697829,224712.42109375,-1.326354593038559,4.4465065002441406e-05,0.0003,109567.53125
275,83,30,8300,258973.0,0.00031457905,0.2,820,0.0,-0.0033476114847871942,167821.79375,-1.3346112072467804,-1.895427703857422e-05,0.0003,72311.1484375
276,84,30,8400,261004.0,5.417307e-05,0.2,830,0.0,-0.0007572713595436654,344489.01875,-1.314289128780365,0.00010126829147338867,0.0003,189393.5
276,85,30,8500,263530.0,0.00017634143,0.2,840,0.0,-0.0016602760750174638,108962.4625,-1.3090042650699616,-0.00011205673217773438,0.0003,51382.8984375
276,86,31,8600,265827.0,9.65872e-05,0.2,850,0.0,-0.0016280613502203777,150576.7984375,-1.3183597207069397,6.979703903198242e-05,0.0003,82471.828125
276,87,31,8700,268582.0,0.00022873614,0.2,860,0.0,-0.003171649039359181,143868.4875,-1.3214640200138092,0.000612795352935791,0.0003,74249.9765625
