time/fps,Episode,time/time_elapsed,time/total_timesteps,Reward,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/learning_rate,Loss
256,19,7,1900,4590.0,0.00054967357,0.2,180.0,0.0,-0.0050589498467161,109533.9578125,-1.941723734140396,0.0007433295249938,0.0003,50581.6796875
256,20,7,2000,3872.0,0.00027854933,0.2,190.0,0.0,-0.0011553681946679,734434.909375,-1.9397392868995669,0.0003344416618347,0.0003,412557.21875
255,21,8,2100,4794.0,0.000115951574,0.2,200.0,0.0,-0.0017904877720866,452870.490625,-1.9391158461570737,0.0002031922340393,0.0003,166793.953125
254,22,8,2200,4511.0,7.254697e-05,0.2,210.0,0.0,-0.001363766504437,720204.03125,-1.9400472342967987,-0.0002847909927368,0.0003,314249.78125
254,23,9,2300,4559.0,6.6762586e-05,0.2,220.0,0.0,-0.0017945001032785,494319.909375,-1.9399328231811523,-0.0001983642578125,0.0003,237566.0625
253,24,9,2400,5366.0,0.00016443591,0.2,230.0,0.0,-0.0027676943776896,493455.4078125,-1.9397915184497836,1.0609626770019531e-05,0.0003,224706.25
253,25,9,2500,2550.0,0.00010210793,0.2,240.0,0.0,-0.0016566733582294,1034010.325,-1.939514887332916,8.13603401184082e-05,0.0003,496078.28125
251,26,10,2600,5830.0,0.0003168682,0.2,250.0,0.0,-0.0021894453479035,253559.42890625,-1.9380065858364104,3.5762786865234375e-07,0.0003,168390.421875
251,27,10,2700,4712.0,0.0001066145,0.2,260.0,0.0,-0.0013786224157229,891387.5125,-1.937238609790802,-0.0001997947692871,0.0003,435564.84375
251,28,11,2800,5274.0,7.291071e-05,0.2,270.0,0.0,-0.0016830400118124,649556.38125,-1.9374693572521209,2.8312206268310547e-05,0.0003,360876.8125
250,29,11,2900,3490.0,0.0002040267,0.2,280.0,0.0,-0.0028956961832591,612195.6140625,-1.9369208812713623,0.000190794467926,0.0003,261841.78125
251,30,11,3000,3184.0,9.3534385e-05,0.2,290.0,0.0,-0.0013544803940021,324645.765625,-1.9357869625091555,-3.612041473388672e-05,0.0003,143059.421875
251,31,12,3100,1164.0,0.0003224204,0.2,300.0,0.0,-0.0038522157963598,266936.86953125,-1.936667799949646,5.352497100830078e-05,0.0003,156494.703125
251,32,12,3200,5116.0,0.0014014568,0.2,310.0,0.0,-0.0063836154535238,31797.8095703125,-1.9339152574539185,-0.0002291202545166,0.0003,14398.900390625
250,33,13,3300,6883.0,0.00051535247,0.2,320.0,0.0,-0.0027018945052986,552523.5125,-1.9288413643836972,-0.0003174543380737,0.0003,276039.84375
250,34,13,3400,2519.0,8.8873734e-05,0.2,330.0,0.0,-0.0014507083515127,1660343.61875,-1.927131414413452,6.914138793945312e-05,0.0003,879613.75
250,35,13,3500,4888.0,0.00015585352,0.2,340.0,0.0,-0.0024070532009318,204368.55546875,-1.927870762348175,-4.839897155761719e-05,0.0003,82261.34375
250,36,14,3600,1964.0,0.00015690882,0.2,350.0,0.0,-0.0017578231449988,509943.95625,-1.925191068649292,-2.5033950805664062e-05,0.0003,290455.9375
250,37,14,3700,4077.0,0.00015808549,0.2,360.0,0.0,-0.0020819507648411,107025.109765625,-1.9261090576648712,-0.0005083084106445,0.0003,54266.859375
249,38,15,3800,6780.0,0.00031316868,0.2,370.0,0.0,-0.0022926434734472,437776.696875,-1.922456789016724,6.562471389770508e-05,0.0003,202733.828125
249,39,15,3900,4976.0,4.0022293e-05,0.2,380.0,0.0,-9.74896174739115e-05,1285780.125,-1.924919134378433,5.733966827392578e-05,0.0003,521547.4375
